Top queries,Clicks,Impressions,CTR,Position
championnat du monde avion en papier,31,58,53.45%,1.07
avion en papier planeur,26,1681,1.55%,5.56
concours avion en papier,18,87,20.69%,2.17
tuto avion en papier,15,4453,0.34%,7.41
avion papier planeur,14,912,1.54%,3.42
planeur en papier,10,1369,0.73%,4.93
record du monde avion en papier,8,79,10.13%,2.15
concours d'avion en papier,8,30,26.67%,2.67
tutoriel avion en papier,6,209,2.87%,6.28
tuto avion papier,5,637,0.78%,6.18
avion papier tuto,5,346,1.45%,6.61
planeur avion papier,4,144,2.78%,4.06
avion papier rond,4,139,2.88%,7.29
avion en papier rond,3,243,1.23%,6.58
avions en papier tuto,3,130,2.31%,5.46
tuto planeur en papier,3,70,4.29%,4.7
pliage avion papier planeur,3,64,4.69%,4.03
tuto avion en papier facile,2,694,0.29%,6.65
avion planeur papier,2,215,0.93%,4.85
avion en papier planeur facile,2,116,1.72%,4.28
avion en papier rond tuto,2,28,7.14%,4.29
avion papier facile,1,337,0.3%,9.04
tuto avion,1,184,0.54%,7.85
planeur papier,1,168,0.6%,4.46
avion en papier record du monde 2025,1,120,0.83%,7.05
tuto pour faire des avions en papier,1,118,0.85%,6.88
tuto avion en papier planeur,1,106,0.94%,3.85
avion en papier record du monde 2024,1,89,1.12%,4.76
avion en papier tuto facile,1,71,1.41%,6.72
avion en papier,1,71,1.41%,19
tuto avions en papier,1,68,1.47%,5.66
planeur avion en papier facile,1,59,1.69%,3.97
faire un planeur en papier,1,50,2%,4.92
tutoriel avion papier,1,43,2.33%,5.67
pliage avion planeur,1,34,2.94%,5.09
avion rond papier,1,32,3.12%,5.41
avion en papier record du monde,1,19,5.26%,8.68
avion papier circulaire,1,17,5.88%,9.35
avion en papier champion du monde,1,13,7.69%,5.92
avion en papier pro,1,10,10%,11
tuto pour faire avion en papier,1,9,11.11%,5.44
l'avion en papier qui vole le plus longtemps du monde,1,8,12.5%,1.25
pliage avion en papier planeur,1,8,12.5%,3.38
lanceur avion en papier,1,4,25%,6.75
comment faire un lanceur d'avion en papier,1,2,50%,23.5
avion facile à faire,1,1,100%,9
avion en papier tuto,0,494,0%,6.85
avion en papier facile,0,199,0%,9.86
tuto avion papier facile,0,196,0%,7.08
faire un avion en papier facile,0,158,0%,7.72
comment faire un planeur en papier,0,129,0%,6.26
comment faire un avion en papier,0,105,0%,15.3
avion planeur en papier,0,95,0%,5.21
comment faire un avion en papier planeur,0,81,0%,4.84
avion tuto,0,76,0%,6.5
tuto d'avion en papier,0,74,0%,6.55
paper airplane competition 2026,0,66,0%,6.2
planeur en papier facile,0,63,0%,4.32
planeur avion en papier,0,60,0%,4.78
faire avion en papier facile,0,58,0%,7.12
avion papier simple,0,57,0%,7.3
avion en papier tutoriel,0,52,0%,7.35
modele avion papier planeur,0,49,0%,4.14
coupe du monde en papier,0,47,0%,8.85
avion rond en papier,0,46,0%,5.74
tuto avion de papier,0,44,0%,5.93
tuto faire un avion en papier,0,43,0%,7.56
etape avion en papier,0,40,0%,5.92
tuto avion facile,0,40,0%,6.4
lance avion en papier,0,40,0%,7.9
avion de papier facile,0,40,0%,8.12
faire un avion en papier,0,39,0%,13.49
